rule_id,position,image_id,legacy_image_id,volunteer_id,released_view,original_rule_label,corrected_view,coverage,filepath,provenance
13,4,permanent_dentition_DAI_V10_S01,DAI_V10_S01,DAI_V10,occlusal,occlusal,frontal,0.9780244005661244,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S01.jpeg,author-side feedback documented during manuscript development
13,5,permanent_dentition_DAI_V01_S12,DAI_V01_S12,DAI_V01,occlusal,occlusal,lateral,0.9730353542286602,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S12.jpeg,author-side feedback documented during manuscript development
7,1,permanent_dentition_DAI_V08_S09,DAI_V08_S09,DAI_V08,frontal,frontal,lateral,0.9952663299788616,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V08_S09.jpeg,author-side feedback documented during manuscript development
7,2,permanent_dentition_DAI_V08_S11,DAI_V08_S11,DAI_V08,frontal,frontal,lateral,0.9884878033990006,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V08_S11.jpeg,author-side feedback documented during manuscript development
7,3,permanent_dentition_DAI_V07_S12,DAI_V07_S12,DAI_V07,frontal,frontal,lateral,0.9725419350377468,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V07_S12.jpeg,author-side feedback documented during manuscript development
7,4,permanent_dentition_DAI_V06_S10,DAI_V06_S10,DAI_V06,frontal,frontal,lateral,0.954872311437638,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V06_S10.jpeg,author-side feedback documented during manuscript development
7,5,permanent_dentition_DAI_V03_S03,DAI_V03_S03,DAI_V03,frontal,frontal,frontal,0.953550517342146,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S03.jpeg,author-side feedback documented during manuscript development
3,1,permanent_dentition_DAI_V09_S08,DAI_V09_S08,DAI_V09,occlusal,occlusal,occlusal,0.9765225781084842,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V09_S08.jpeg,author-side feedback documented during manuscript development
3,2,permanent_dentition_DAI_V03_S08,DAI_V03_S08,DAI_V03,occlusal,occlusal,occlusal,0.9696410190696316,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S08.jpeg,author-side feedback documented during manuscript development
3,3,permanent_dentition_DAI_V01_S02,DAI_V01_S02,DAI_V01,occlusal,occlusal,frontal,0.9613314250083084,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S02.jpeg,author-side feedback documented during manuscript development
3,4,permanent_dentition_DAI_V03_S07,DAI_V03_S07,DAI_V03,occlusal,occlusal,occlusal,0.9588104761252249,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S07.jpeg,author-side feedback documented during manuscript development
3,5,permanent_dentition_DAI_V07_S07,DAI_V07_S07,DAI_V07,occlusal,occlusal,occlusal,0.93925017872082,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V07_S07.jpeg,author-side feedback documented during manuscript development
2,1,permanent_dentition_DAI_V03_S01,DAI_V03_S01,DAI_V03,frontal,frontal,frontal,0.9651992953882784,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S01.jpeg,author-side feedback documented during manuscript development
2,2,permanent_dentition_DAI_V03_S09,DAI_V03_S09,DAI_V03,frontal,frontal,lateral,0.9457878012554276,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S09.jpeg,author-side feedback documented during manuscript development
2,3,permanent_dentition_DAI_V05_S02,DAI_V05_S02,DAI_V05,frontal,frontal,frontal,0.9375802457152886,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V05_S02.jpeg,author-side feedback documented during manuscript development
2,4,permanent_dentition_DAI_V07_S03,DAI_V07_S03,DAI_V07,frontal,frontal,frontal,0.9298584114864864,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V07_S03.jpeg,author-side feedback documented during manuscript development
2,5,permanent_dentition_DAI_V08_S02,DAI_V08_S02,DAI_V08,frontal,frontal,frontal,0.9276636375568972,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V08_S02.jpeg,author-side feedback documented during manuscript development
1,1,permanent_dentition_DAI_V04_S10,DAI_V04_S10,DAI_V04,occlusal,occlusal,lateral,0.994280858973044,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V04_S10.jpeg,author-side feedback documented during manuscript development
1,2,permanent_dentition_DAI_V05_S06,DAI_V05_S06,DAI_V05,occlusal,occlusal,occlusal,0.9674463542856736,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V05_S06.jpeg,author-side feedback documented during manuscript development
1,3,permanent_dentition_DAI_V07_S08,DAI_V07_S08,DAI_V07,occlusal,occlusal,occlusal,0.9587127919846308,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V07_S08.jpeg,author-side feedback documented during manuscript development
1,4,permanent_dentition_DAI_V04_S04,DAI_V04_S04,DAI_V04,occlusal,occlusal,lateral,0.9489267827539898,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V04_S04.jpeg,author-side feedback documented during manuscript development
1,5,permanent_dentition_DAI_V02_S07,DAI_V02_S07,DAI_V02,occlusal,occlusal,occlusal,0.9360925870739188,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S07.jpeg,author-side feedback documented during manuscript development
4,1,permanent_dentition_DAI_V06_S06,DAI_V06_S06,DAI_V06,occlusal,occlusal,occlusal,0.9853249060219076,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V06_S06.jpeg,author-side feedback documented during manuscript development
4,2,permanent_dentition_DAI_V03_S06,DAI_V03_S06,DAI_V03,occlusal,occlusal,occlusal,0.9796889514615588,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S06.jpeg,author-side feedback documented during manuscript development
4,3,permanent_dentition_DAI_V10_S11,DAI_V10_S11,DAI_V10,occlusal,occlusal,lateral,0.9759053964006058,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S11.jpeg,author-side feedback documented during manuscript development
4,4,permanent_dentition_DAI_V09_S05,DAI_V09_S05,DAI_V09,occlusal,occlusal,occlusal,0.9611317305004948,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V09_S05.jpeg,author-side feedback documented during manuscript development
4,5,permanent_dentition_DAI_V07_S05,DAI_V07_S05,DAI_V07,occlusal,occlusal,occlusal,0.949272736053226,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V07_S05.jpeg,author-side feedback documented during manuscript development
